INFO  - 2014-09-16 00:29:30.734; org.apache.solr.update.DefaultSolrCoreState; SolrCoreState ref count has reached 0 - closing IndexWriter
INFO  - 2014-09-16 00:29:30.735; org.apache.solr.update.DefaultSolrCoreState; closing IndexWriter with IndexWriterCloser
INFO  - 2014-09-16 00:29:30.737; org.apache.solr.core.SolrCore; [collection1] Closing main searcher on request.
INFO  - 2014-09-16 00:29:30.738; org.apache.solr.core.CachingDirectoryFactory; Closing NRTCachingDirectoryFactory - 2 directories currently being tracked
INFO  - 2014-09-16 00:29:30.741; org.apache.solr.core.CachingDirectoryFactory; looking to close C:\project\solr_home\data [CachedDir<<refCount=0;path=C:\project\solr_home\data;done=false>>]
INFO  - 2014-09-16 00:29:30.741; org.apache.solr.core.CachingDirectoryFactory; Closing directory: C:\project\solr_home\data
INFO  - 2014-09-16 00:29:30.742; org.apache.solr.core.CachingDirectoryFactory; looking to close C:\project\solr_home\data\index [CachedDir<<refCount=0;path=C:\project\solr_home\data\index;done=false>>]
INFO  - 2014-09-16 00:29:30.744; org.apache.solr.core.CachingDirectoryFactory; Closing directory: C:\project\solr_home\data\index
INFO  - 2014-09-16 00:29:38.474; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-09-16 00:29:38.503; org.apache.solr.core.SolrResourceLoader; Using JNDI solr.home: C:/project/solr_home
INFO  - 2014-09-16 00:29:38.507; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'C:/project/solr_home\'
INFO  - 2014-09-16 00:29:38.724; org.apache.solr.core.ConfigSolr; Loading container configuration from C:\project\solr_home\solr.xml
INFO  - 2014-09-16 00:29:38.876; org.apache.solr.core.ConfigSolrXml; Config-defined core root directory: 
INFO  - 2014-09-16 00:29:38.892; org.apache.solr.core.CoreContainer; New CoreContainer 141534213
INFO  - 2014-09-16 00:29:38.892; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=C:/project/solr_home\]
INFO  - 2014-09-16 00:29:38.926; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-09-16 00:29:38.927; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2014-09-16 00:29:38.928; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-09-16 00:29:38.929; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-09-16 00:29:38.930; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2014-09-16 00:29:38.931; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
